ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1759143226290610584,14,"A Pakistani Imam goes to the Brussels Parliament in 2024, the heart of Western democracy, and chants verses from the Quran of surah Al-Ahzaab, a surah in which many verses are about the war against Jews and infidels and how they must be exterminated.And all this is done with… https://t.co/GnWmogl5F5",851,18,41,273,22701.0
1758985445445410870,7,RT @AlainGerlache: Ce n'est pas un 'incident'. C'est la démonstration qu'il y a dans certains milieux une stratégie de conquête du pouvoir…,0,0,0,229,
1758973450075398568,14,"Het lijkt dat de Pakistaanse imam die verzen uit de Koran zong in het Brussels Parlement, Muhammad Ansar Butt, een van de Punjabis was die in oktober 2022 met de Dawat e islami door de straten van #Molenbeek marcheerde.En zo’n extremist krijg een medaille voor perfecte… https://t.co/8kd4GbmAVI",612,8,41,153,22352.0
1758965062683750643,1,Wat vinden jullie de mooiste foto? 1 of 2 ? https://t.co/b0fzP8ddQ5,560,18,673,23,72867.0
1758837518147981332,14,"“Van de cel naar de Kamer”Mijn strijd tegen het islamismeEen Pakistaanse Imam gaat in 2024 naar het Brusselse Parlement, hét hart van de westerse democratie bij uitstek, en zingt verzen uit de Koran van de soera Al-Ahzaab, een soera waarin vele verzen over de oorlog tegen… https://t.co/sT0IwKauY9",893,6,65,200,47288.0
1759844758363443210,3,"Beste mensen, ‘Onnozelheden’‘België moet de NAVO uitgaven versneld uitvoeren.’ dixit Alexander De Croo afgelopen weekend op de Security Conference in München, de jaarlijkse hoogmis van de internationale veiligheidsgemeenschap. Geïsoleerd De Croo voelt natuurlijk de hete… https://t.co/HSIOdKEdYs",235,4,64,48,24693.0
1758816571886043540,14,RT @PVelleAntiJihad: Een tweede Pakistaanse radicale imam werd ook vereerd in Brussels parlement. Namelijk Adnan Feroz! Hij is close met sa…,0,0,0,208,
1758775924491751453,14,RT @SafaiDarya: Wat zou de reden geweest zijn dat deze extremist een prijs mocht ontvangen van de Brusselse staatssecretaris voor Gelijke K…,0,0,0,341,
1758625197861605617,14,Wat zou de reden geweest zijn dat deze extremist een prijs mocht ontvangen van de Brusselse staatssecretaris voor Gelijke Kansen?Voor zijn perfecte integratie? Voor zijn respect voor de waarden van onze westerse democratie? Voor zijn respect voor vrouwen en de LGBTQI+… https://t.co/bcHVQkj0oI,1462,30,131,341,103258.0
1758457914803527844,14,Ongelofelijk!In het Brusselse Parlement: een bebaarde man die de verzen van de Koran zingt.Deze islamisten zijn diegenen die de sharia gebruiken om vrouwen in islamitische landen te onderdrukken en hen te doen gehoorzamen onder het mom van “de woorden van Allah” en “men moet… https://t.co/Gcu5mEWnjt,1547,121,231,495,276486.0
1758589662170419599,14,"Which surah from the Quran did the Imam actually sing in the Brussels parliament?The radical Imam sang verses 41 to 47 of the Surah ""Al-Ahzab"" (Surah The Confederates) in the heart of Western democracy.This Surah is about a battle between Muslims and Jews. It also indicates…",726,49,74,289,55009.0
1758495895245451650,14,"Unbelievable!In the Brussels Parliament: a bearded man chanting the verses of the Quran.These Islamists are those who use Sharia law to oppress women in Islamic countries and make them obey under the guise of ""the words of Allah"" and ""one must submit to the will of God.""Did… https://t.co/DhutxVxy0k",1183,44,116,372,86933.0
1728714670326821002,1,"@egbertlachaert België en Spanje hebben geen enkele geloofwaardigheid meer als het gaat om bemiddeling. Daar was mijn interview - domme verspreking incluis - niet voor nodig, spijtig genoeg. De bruggen met Tel Aviv zijn minstens tijdelijk opgeblazen. Daarnaast zou ik niet weten waarom de https://t.co/3nNrGBVFBo",170,3,32,13,17206.0
1713059606849548593,3,En alweer kloppen de begrotingstabellen niet. Alweer geeft De Croo verkeerde cijfers aan het parlement.Wat een amateurisme.Je zou denken dat ze hun lesje hebben geleerd na het cijfer-debacle met Eva De Bleeker. Maar neen dus. https://t.co/dYVSNXkwpU,785,10,69,182,58020.0
1758434959943983193,2,RT @de_NVA: 'Vorige legislatuur kwam er onder @svandeput een omslag op vlak van defensie-investeringen. Dat werd destijds weggehoond door d…,0,0,0,11,
1739387243591029216,7,"RT @FranckenTheo: Geen kerstmankidnapping 🎅🏼🫣 om 5u ‘s nachts in de Kamer, wél een gemeende kerstwens namens onze Kamerfractie - en ik denk…",0,0,0,21,
1739213087939473806,7,RT @nvakamer: Onze fractie wenst u alvast een zalig kerstfeest en een gelukkig 2024! 🎄🥂 https://t.co/IjqFqoX22T,0,0,0,17,
1735332404116570569,1,@MichelleHaas_ @WouterDeVriendt @Petergee1 @GIESGhent Succes!,2,0,0,0,166.0
1732866312857162185,12,"RT @PeterDeRoover1: ‘Meteen, nu, vandaag bewijs publiek maken’ reageerde min. Vandenbroucke op vraag @KDepoorterMP over dubieuze aanbestedi…",0,0,0,58,
1732438765572931672,2,"Wat leren we uit de budgetbespreking defensie? Het Rekenhof stelt vast dat er een achteruitgang is van 1,21 in ‘23 naar 1,17% in ’24 van het bbp. We moeten onze NAVO-verplichtingen nakomen. België ligt in die kringen al langer onder vuur. Enkele opmerkingen: https://t.co/uUKXPK2RpJ",17,0,3,5,1105.0
1732439045932794003,2,"2024: slechts 1,17% v/h BBP defensie-investeringen ipv 1,26%. Budget daalt zelfs tov 2023. Tegen de NAVO-verplichtingen in, terwijl alles duurder wordt. Het pad naar 1,54% in 2030 ligt op die manier nog moeilijker. Om nog maar te zwijgen over de 2%-norm.",4,0,4,1,193.0
1732439164497379818,1,"Deze regering had de mond vol van transparantie en parlementaire betrokkenheid. De waarheid is echter ontnuchterend: werkbezoeken geboycot, PPTs niet vrijgegeven, nota’s over levering F16’s aan Oekraïne weigert minister te geven. Onder @svandeput was die betrokkenheid veel groter",4,0,1,1,104.0
1732439274602053650,2,Volgens ministers @AnneliesVl en @PaulVanTigchelt zou #defensie militairen inzetten in de ‘war on drugs’. Dit voor de beveiliging van inbeslaggenomen drugs. MOD @DedonderLudivin ontkende dit formeel: Defensie levert geen bijdrage. Wat is het nu? De Vivaldipartituren klinken vals.,0,0,0,0,45.0
1732439644686467361,1,STAR-programma staat onder druk. Eerder geraamde kostprijs nieuwe fregatten BeNeSam - cruciaal voor bescherming van energie-infrastructuur op zee - is toegenomen. Dedonder wil nu schuiven met kredieten binnen meerjarenplanning. Ten kosten van welke toekomstige projecten?,0,0,0,0,48.0
1732439831475601690,1,"Tegen alle adviezen in wil Vivaldi drones niet bewapenen. @hendrikbogaert pleit voor, maar @cdenv_Kamer stemde mijn VVR weg. @LacroixCh ‘Nous avons besoin des drones armees’, maar krabbelt terug. Bewapende drones zijn onmisbaar. Tijd om realiteit onder ogen te zien, zoals in NL.",4,0,0,0,87.0
1721877864478331140,2,Begrotingscijfers zijn nog steeds niet binnen. Ik kan dan ook niet anders dan de bespreking van de beleidsnota defensie morgen in #COMDEF annuleren. Komt er nog een moment dat Vivaldi het parlement ernstig wil behandelen? @DedonderLudivin Is dit de “nieuwe politieke cultuur”?,43,0,2,5,1833.0
1718938429025554610,0,RT @de_NVA: ’t Zijn zotten die werken. Dat moet eindelijk veranderen. Hoe kunnen we ervoor zorgen dat elke Vlaming er écht op vooruitgaat?…,0,0,0,90,
1717130318946197521,1,Minister @DedonderLudivin wil de studie v F16-levering aan #Oekraïne niet ter beschikking stellen a/h parlement. Gelukkig keurde #COMDEF via een wisselmeerderheid zojuist mijn voorstel goed zodat we toch moeten beschikken over dat rapport. Dank aan @groen @openvld &amp; @vooruit_nu,68,2,8,12,8646.0
1712151407153840168,1,"Vorige vroeg ik in #COMDEF nog meer transparantie en inzage in de verwachte studie over de F16’s in #Oekraïne. De conclusies worden ondertussen door @DedonderLudivin getrokken, terwijl we nog niks gezien hebben. Graag dringend die studie aan comdef bezorgen, minister!",5,0,1,2,683.0
1679742319463989249,7,"RT @NATO_KFOR: Commander of the #NATO-led #KFOR mission, MG Angelo Michele Ristuccia, met with Belgium parliamentary delegation led by H.E.…",0,0,0,4,
1678991271778549760,8,RT @FranckenTheo: Drie dagen voor @NATO pa naar Albanië 🇦🇱 én Kosovo 🇽🇰. Meetings met oa de eerste minister van Kosovo en een bezoek aan KF…,0,0,0,6,
1759860003786113202,14,"NAVO Parlement, Brussels Meeting, dag 2.Eerste aankondiging van de dag, Hongaars parlement zal maandag de toetreding van Zweden als 32ste bondgenoot goedkeuren. Welkom Zweden!🇸🇪 #WeAreNATO @natopapress https://t.co/fxQb3lYXMx",14,0,4,0,1832.0
